,start_learning_rate,width,depth,l2_weight,train_loss,val_loss,train_acc,val_acc
0,1e-05,256.0,1.0,0.0,1.2096948623657227,1.3091437816619873,0.5912036895751953,0.5377777814865112
1,1e-05,256.0,1.0,1e-05,1.2513866424560547,1.3369839191436768,0.5774074196815491,0.5288888812065125
2,1e-05,256.0,1.0,0.0001,1.2893708944320679,1.376381754875183,0.5776388645172119,0.5262963175773621
3,1e-05,256.0,2.0,0.0,1.1255093812942505,1.2289714813232422,0.6140277981758118,0.5555555820465088
4,1e-05,256.0,2.0,1e-05,1.112227201461792,1.2239747047424316,0.6170370578765869,0.5674074292182922
5,1e-05,256.0,2.0,0.0001,1.1753783226013184,1.276510238647461,0.6092592477798462,0.5614814758300781
6,1e-05,256.0,3.0,0.0,1.0622378587722778,1.1858474016189575,0.6298148036003113,0.5825926065444946
7,1e-05,256.0,3.0,1e-05,1.0603857040405273,1.174489140510559,0.6353240609169006,0.5888888835906982
8,1e-05,256.0,3.0,0.0001,1.1243544816970825,1.2491486072540283,0.6289351582527161,0.5737037062644958
9,1e-05,512.0,1.0,0.0,1.1478755474090576,1.2667756080627441,0.6133333444595337,0.5633333325386047
10,1e-05,512.0,1.0,1e-05,1.1485482454299927,1.2697784900665283,0.6203240752220154,0.5618518590927124
11,1e-05,512.0,1.0,0.0001,1.2034614086151123,1.3282195329666138,0.6185185313224792,0.5607407689094543
12,1e-05,512.0,2.0,0.0,0.9748196005821228,1.1381326913833618,0.6686574220657349,0.5940740704536438
13,1e-05,512.0,2.0,1e-05,0.9946731925010681,1.1565066576004028,0.6627314686775208,0.5948148369789124
14,1e-05,512.0,2.0,0.0001,1.0632277727127075,1.2299630641937256,0.6689814925193787,0.5996296405792236
15,1e-05,512.0,3.0,0.0,0.8834317922592163,1.0670074224472046,0.6945833563804626,0.6118518710136414
16,1e-05,512.0,3.0,1e-05,0.9051151871681213,1.0794419050216675,0.6910648345947266,0.6133333444595337
17,1e-05,512.0,3.0,0.0001,1.0119391679763794,1.178578495979309,0.6855092644691467,0.6214814782142639
18,1e-05,1024.0,1.0,0.0,1.0529711246490479,1.2095365524291992,0.6542592644691467,0.5707407593727112
19,1e-05,1024.0,1.0,1e-05,1.0683051347732544,1.2229552268981934,0.6532407402992249,0.5751851797103882
20,1e-05,1024.0,1.0,0.0001,1.1753945350646973,1.3325986862182617,0.6554629802703857,0.5762962698936462
21,1e-05,1024.0,2.0,0.0,0.7919570803642273,1.0375651121139526,0.7387962937355042,0.630740761756897
22,1e-05,1024.0,2.0,1e-05,0.8105266094207764,1.0556275844573975,0.7401388883590698,0.6348147988319397
23,1e-05,1024.0,2.0,0.0001,0.9541069865226746,1.2127844095230103,0.7456481456756592,0.6359259486198425
24,1e-05,1024.0,3.0,0.0,0.6522732377052307,0.9645371437072754,0.7817129492759705,0.6685185432434082
25,1e-05,1024.0,3.0,1e-05,0.6784796118736267,0.9794643521308899,0.7820833325386047,0.6707407236099243
26,1e-05,1024.0,3.0,0.0001,0.8828322291374207,1.187840223312378,0.7793518304824829,0.6655555367469788
27,0.0001,256.0,1.0,0.0,0.9520074725151062,1.1818253993988037,0.6733333468437195,0.5877777934074402
28,0.0001,256.0,1.0,1e-05,0.9931195974349976,1.1906588077545166,0.6620370149612427,0.5822222232818604
29,0.0001,256.0,1.0,0.0001,1.0122638940811157,1.202536940574646,0.6656481623649597,0.5929629802703857
30,0.0001,256.0,2.0,0.0,0.7234745025634766,1.0317057371139526,0.7547222375869751,0.6485185027122498
31,0.0001,256.0,2.0,1e-05,0.7717143893241882,1.035139560699463,0.7372221946716309,0.6429629921913147
32,0.0001,256.0,2.0,0.0001,0.7794526815414429,1.064566969871521,0.7433333396911621,0.6429629921913147
33,0.0001,256.0,3.0,0.0,0.5728467702865601,0.957233190536499,0.808472216129303,0.6866666674613953
34,0.0001,256.0,3.0,1e-05,0.5670045018196106,0.9818599820137024,0.8129166960716248,0.6762962937355042
35,0.0001,256.0,3.0,0.0001,0.6274750232696533,1.018415093421936,0.806342601776123,0.6796296238899231
36,0.0001,512.0,1.0,0.0,0.9248473644256592,1.1615636348724365,0.6872684955596924,0.5988888740539551
37,0.0001,512.0,1.0,1e-05,0.9302935004234314,1.162187933921814,0.6869444251060486,0.601111114025116
38,0.0001,512.0,1.0,0.0001,0.9370435476303101,1.168357014656067,0.695972204208374,0.6070370078086853
39,0.0001,512.0,2.0,0.0,0.584541916847229,1.0165126323699951,0.8075463175773621,0.6600000262260437
40,0.0001,512.0,2.0,1e-05,0.5960492491722107,1.0131661891937256,0.8063889145851135,0.6637036800384521
41,0.0001,512.0,2.0,0.0001,0.6448477506637573,1.0471092462539673,0.8020833134651184,0.6607407331466675
42,0.0001,512.0,3.0,0.0,0.3892810642719269,1.0089017152786255,0.8771759271621704,0.6870370507240295
43,0.0001,512.0,3.0,1e-05,0.3992822766304016,1.011522889137268,0.8772222399711609,0.6951851844787598
44,0.0001,512.0,3.0,0.0001,0.5125520825386047,1.0537930727005005,0.8568518757820129,0.6870370507240295
45,0.0001,1024.0,1.0,0.0,0.8427191972732544,1.1127554178237915,0.715925931930542,0.6140740513801575
46,0.0001,1024.0,1.0,1e-05,0.845455527305603,1.1198360919952393,0.7176851630210876,0.6122221946716309
